,usertype,gender,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,age,time,date
0,Subscriber,1,Manila & 1st,40.72165072487999,-74.04288411140442,Brunswick St,40.7241765,-74.05065640000001,32,2021-01-01,2021-01-01
1,Customer,2,Grand St,40.71517767732029,-74.03768330812454,Van Vorst Park,40.71848892,-74.047726625,24,2021-01-01,2021-01-01
2,Customer,1,Grand St,40.71517767732029,-74.03768330812454,Van Vorst Park,40.71848892,-74.047726625,25,2021-01-01,2021-01-01
5,Subscriber,1,Brunswick & 6th,40.726011729646245,-74.0503889322281,Newark Ave,40.72152515,-74.046304543,30,2021-01-01,2021-01-01
7,Subscriber,1,Marin Light Rail,40.71458403535893,-74.04281705617905,Essex Light Rail,40.712774200000005,-74.03648570000001,62,2021-01-01,2021-01-01
8,Subscriber,1,City Hall,40.717732500000004,-74.04384499999999,Liberty Light Rail,40.711242299999995,-74.0557013,46,2021-01-01,2021-01-01
10,Subscriber,2,Washington St,40.7242941,-74.0354826,Marin Light Rail,40.71458403535893,-74.04281705617905,30,2021-01-01,2021-01-01
11,Subscriber,1,Dixon Mills,40.72163014263835,-74.04996782541275,Harborside,40.71925170000001,-74.034234,51,2021-01-01,2021-01-01
12,Subscriber,1,Marin Light Rail,40.71458403535893,-74.04281705617905,Monmouth and 6th,40.72568548362901,-74.0487903356552,27,2021-01-01,2021-01-01
13,Subscriber,1,Marin Light Rail,40.71458403535893,-74.04281705617905,Jersey & 6th St,40.72528910781132,-74.04557168483734,27,2021-01-01,2021-01-01
16,Subscriber,2,Newport Pkwy,40.728744799999994,-74.03210820000001,Columbus Drive,40.71835519823214,-74.03891444206238,27,2021-01-01,2021-01-01
17,Subscriber,1,Brunswick St,40.7241765,-74.05065640000001,Marin Light Rail,40.71458403535893,-74.04281705617905,30,2021-01-01,2021-01-01
18,Subscriber,1,City Hall,40.717732500000004,-74.04384499999999,Brunswick & 6th,40.726011729646245,-74.0503889322281,39,2021-01-01,2021-01-01
19,Subscriber,2,City Hall,40.717732500000004,-74.04384499999999,Lafayette Park,40.71346382669195,-74.06285852193831,34,2021-01-01,2021-01-01
22,Subscriber,1,Brunswick St,40.7241765,-74.05065640000001,Marin Light Rail,40.71458403535893,-74.04281705617905,39,2021-01-01,2021-01-01
23,Subscriber,1,Hamilton Park,40.727595965999996,-74.044247311,Washington St,40.7242941,-74.0354826,20,2021-01-01,2021-01-01
24,Customer,1,Baldwin at Montgomery,40.7236589,-74.0641943,Baldwin at Montgomery,40.7236589,-74.0641943,23,2021-01-01,2021-01-01
